State,Ratio
Alabama,16.944
Alaska,18.73
Arizona,15.93
Arkansas,16.95
California,12.42
Colorado,12.8
Connecticut,11.28
Delaware,14.71
Florida,17.13
Georgia,15.38
Hawaii,5.92
Idaho,16.21
Illinois,13.16
Indiana,15.1
Iowa,15.32
Kansas,14.86
Kentucky,16.59
Louisiana,16.31
Maine,7.66
Maryland,9.2
Massachusetts,12.32
Michigan,12.67
Minnesota,13.9
Mississippi,16.93
Missouri,13.97
Montana,16.38
Nebraska,14.64
Nevada,14.23
New Hampshire,9.74
New Jersey,13.45
New Mexico,13.07
New York,13.01
North Carolina,14.05
North Dakota,19.3
Ohio,13.14
Oklahoma,16.25
Oregon,8.62
Pennsylvania,12.13
Rhode Island,16.91
South Carolina,17.4
South Dakota,17.42
Tennessee,18.73
Texas,14.59
Utah,17.1
Vermont,6.34
Virginia,10.81
Washington,9.49
West Virginia,15.07
Wisconsin,15.11
Wyoming,17.69
District of Columbia,9.27